label,fusion_score,face_conf,voice_conf,gesture_conf
impostor,0.0707,0.202,0.0,0.0
impostor,0.07805,0.223,0.0,0.0
impostor,0.07105,0.203,0.0,0.0
impostor,0.0658,0.188,0.0,0.0
impostor,0.0784,0.224,0.0,0.0
impostor,0.07735,0.221,0.0,0.0
impostor,0.0294,0.084,0.0,0.0
impostor,0.030799999999999998,0.088,0.0,0.0
impostor,0.04305,0.123,0.0,0.0
impostor,0.050749999999999997,0.145,0.0,0.0
impostor,0.5467000000000001,0.782,0.0,0.91
impostor,0.2895000000000001,0.776,0.0,0.93
impostor,0.2765,0.769,0.0,0.84
impostor,0.5421,0.786,0.0,0.89
impostor,0.5337000000000001,0.762,0.0,0.89
impostor,0.5226500000000001,0.739,0.0,0.88
impostor,0.5266500000000001,0.759,0.0,0.87
impostor,0.5386500000000001,0.759,0.0,0.91
impostor,0.54335,0.781,0.0,0.9
impostor,0.28155,0.781,0.0,0.83
impostor,0.5076,0.696,0.0,0.88
impostor,0.5081500000000001,0.689,0.0,0.89
impostor,0.5068000000000001,0.668,0.0,0.91
impostor,0.51545,0.667,0.0,0.94
impostor,0.5043500000000001,0.661,0.0,0.91
impostor,0.51935,0.661,0.0,0.96
impostor,0.4851,0.666,0.0,0.84
impostor,0.526,0.68,0.0,0.96
impostor,0.47565,0.579,0.0,0.91
impostor,0.47625,0.615,0.0,0.87
impostor,0.50465,0.739,0.0,0.82
impostor,0.49410000000000004,0.786,0.0,0.73
impostor,0.5571,0.786,0.0,0.94
impostor,0.548,0.76,0.0,0.94
impostor,0.5427000000000001,0.762,0.0,0.92
impostor,0.5325,0.75,0.0,0.9
impostor,0.5467000000000001,0.782,0.0,0.91
impostor,0.5354,0.784,0.0,0.87
impostor,0.54705,0.723,0.0,0.98
impostor,0.5642,0.772,0.0,0.98
impostor,0.5523500000000001,0.781,0.0,0.93
impostor,0.55575,0.765,0.0,0.96
impostor,0.5142500000000001,0.775,0.0,0.81
impostor,0.5325,0.75,0.0,0.9
impostor,0.54835,0.761,0.0,0.94
impostor,0.56385,0.771,0.0,0.98
impostor,0.5679000000000001,0.774,0.0,0.99
impostor,0.5663,0.778,0.0,0.98
impostor,0.5617000000000001,0.782,0.0,0.96
impostor,0.5481500000000001,0.769,0.0,0.93
impostor,0.4628,0.748,0.0,0.67
impostor,0.17165000000000008,0.5,0.0,0.83
impostor,0.15025,0.518,0.0,0.81
impostor,0.5183,0.778,0.0,0.82
impostor,0.25514999999999993,0.731,0.0,0.84
impostor,0.32365,0.829,0.0,0.94
impostor,0.4904,0.784,0.0,0.72
impostor,0.53035,0.701,0.0,0.95
impostor,0.533,0.7,0.0,0.96
impostor,0.5427500000000001,0.805,0.0,0.87
impostor,0.5467000000000001,0.782,0.0,0.91
impostor,0.398,0.52,0.0,0.72
impostor,0.48750000000000004,0.81,0.0,0.68
impostor,0.5678000000000001,0.808,0.0,0.95
impostor,0.5805,0.81,0.0,0.99
impostor,0.29900000000000004,0.79,0.0,0.88
impostor,0.32775,0.818,0.0,0.97
impostor,0.51265,0.779,0.0,0.8
impostor,0.21985000000000005,0.742,0.0,0.72
impostor,0.5302500000000001,0.735,0.0,0.91
impostor,0.26080000000000003,0.791,0.0,0.79
impostor,0.5588000000000001,0.808,0.0,0.92
impostor,0.53195,0.817,0.0,0.82
impostor,0.3142,0.813,0.0,0.87
impostor,0.51695,0.817,0.0,0.77
impostor,0.5032000000000001,0.812,0.0,0.73
impostor,0.5534000000000001,0.784,0.0,0.93
impostor,0.5579000000000001,0.814,0.0,0.91
impostor,0.575,0.82,0.0,0.96
impostor,0.5618000000000001,0.808,0.0,0.93
impostor,0.3079,0.792,0.0,0.87
impostor,0.577,0.8,0.0,0.99
impostor,0.5561500000000001,0.809,0.0,0.91
impostor,0.29140000000000005,0.795,0.0,0.85
impostor,0.56975,0.805,0.0,0.96
impostor,0.32670000000000016,0.793,0.0,0.97
impostor,0.30850000000000005,0.772,0.0,0.97
impostor,0.32795,0.813,0.0,0.98
impostor,0.33145,0.814,0.0,0.98
impostor,0.57925,0.815,0.0,0.98
impostor,0.3410500000000001,0.805,0.0,0.97
impostor,0.45385,0.551,0.0,0.87
impostor,0.3110000000000001,0.762,0.0,0.99
impostor,0.5579000000000001,0.754,0.0,0.98
impostor,0.57345,0.807,0.0,0.97
impostor,0.34,0.824,0.0,0.97
impostor,0.5775,0.81,0.0,0.98
impostor,0.30510000000000004,0.806,0.0,0.94
impostor,0.57255,0.813,0.0,0.96
impostor,0.1508,0.582,0.0,0.75
impostor,0.17919999999999997,0.612,0.0,0.84
impostor,0.25510000000000005,0.654,0.0,0.96
impostor,0.54205,0.743,0.0,0.94
impostor,0.5431,0.746,0.0,0.94
impostor,0.5355000000000001,0.75,0.0,0.91
impostor,0.54515,0.769,0.0,0.92
impostor,0.5328,0.768,0.0,0.88
impostor,0.5448000000000001,0.768,0.0,0.92
impostor,0.5377500000000001,0.765,0.0,0.9
impostor,0.5404500000000001,0.747,0.0,0.93
