face_conf_raw,voice_conf_raw,gesture_conf_raw,fusion_new,ground_truth
0.153,0.336,0.74,0.3638,impostor
0.159,0.293,0.9,0.39115,impostor
0.158,0.349,0.89,0.40785,impostor
0.139,0.337,0.87,0.39105,impostor
0.151,0.328,0.83,0.3827,impostor
0.164,0.341,0.91,0.41245,impostor
0.137,0.32,0.89,0.3893,impostor
0.157,0.411,0.86,0.42164999999999997,impostor
0.144,0.353,0.82,0.38615,impostor
0.162,0.363,0.87,0.40935,impostor
0.155,0.356,0.88,0.40659999999999996,impostor
0.151,0.257,0.87,0.36785,impostor
0.157,0.425,0.8,0.41155,impostor
0.158,0.349,0.85,0.39785,impostor
0.159,0.333,0.85,0.39265,impostor
0.164,0.361,0.92,0.42195000000000005,impostor
0.167,0.352,0.92,0.42000000000000004,impostor
0.138,0.334,0.82,0.3771,impostor
0.138,0.361,0.85,0.39405,impostor
0.154,0.379,0.86,0.40925,impostor
0.153,0.43,0.74,0.3967,impostor
0.158,0.345,0.72,0.36395,impostor
0.166,0.273,0.91,0.38944999999999996,impostor
0.157,0.436,0.89,0.43789999999999996,impostor
0.163,0.38,0.89,0.42069999999999996,impostor
0.171,0.365,0.86,0.41115,impostor
0.162,0.325,0.0,0.17855,impostor
0.163,0.4,0.77,0.3977,impostor
0.151,0.452,0.75,0.4061,impostor
0.157,0.391,0.63,0.35714999999999997,impostor
0.171,0.327,0.74,0.36785,impostor
0.159,0.408,0.71,0.38389999999999996,impostor
0.17,0.379,0.75,0.38815,impostor
0.149,0.371,0.71,0.36695,impostor
0.168,0.384,0.61,0.35409999999999997,impostor
0.17,0.399,0.81,0.41015,impostor
0.161,0.209,0.65,0.30005000000000004,impostor
0.158,0.259,0.64,0.31384999999999996,impostor
0.164,0.268,0.76,0.3494,impostor
0.152,0.341,0.91,0.40765,impostor
0.138,0.24,0.94,0.3742,impostor
0.151,0.154,0.87,0.3318,impostor
0.143,0.136,0.94,0.3398,impostor
0.176,0.059,0.93,0.32355,impostor
0.256,0.237,0.95,0.42285,impostor
0.132,0.187,0.95,0.35575,impostor
0.136,0.066,0.97,0.32,impostor
0.151,0.183,0.95,0.36195,impostor
0.151,0.137,0.98,0.35335,impostor
0.139,0.142,0.94,0.3403,impostor
0.148,0.116,0.98,0.3448,impostor
0.145,0.089,0.98,0.33415,impostor
0.137,0.149,0.98,0.35195,impostor
0.194,0.099,0.98,0.35725,impostor
0.141,0.056,0.97,0.3185,impostor
0.152,0.08,0.98,0.3338,impostor
0.15,0.073,0.99,0.33304999999999996,impostor
0.127,0.082,0.99,0.327,impostor
0.14,0.067,0.97,0.32195,impostor
0.133,0.266,0.96,0.3863,impostor
0.179,0.347,0.95,0.43055,impostor
0.129,0.34,0.95,0.4081,impostor
0.131,0.339,0.79,0.36855000000000004,impostor
0.161,0.236,0.75,0.3345,impostor
0.272,0.069,0.68,0.30295000000000005,impostor
0.115,0.049,0.68,0.23315000000000002,impostor
0.132,0.124,0.97,0.3387,impostor
0.139,0.173,0.97,0.35865,impostor
0.137,0.235,0.97,0.37955,impostor
0.176,0.131,0.96,0.35625,impostor
0.133,0.162,0.97,0.3524,impostor
0.188,0.206,0.97,0.3898,impostor
0.194,0.136,0.73,0.3077,impostor
0.15,0.231,0.98,0.38585,impostor
0.139,0.115,0.98,0.34085,impostor
0.129,0.12,0.97,0.3361,impostor
0.121,0.073,0.98,0.31894999999999996,impostor
0.118,0.174,0.98,0.35309999999999997,impostor
0.133,0.218,0.98,0.3745,impostor
0.153,0.133,0.92,0.33775,impostor
0.124,0.112,0.74,0.2738,impostor
0.137,0.136,0.97,0.3449,impostor
0.208,0.116,0.98,0.3688,impostor
0.198,0.127,0.98,0.36865000000000003,impostor
0.179,0.128,0.97,0.3589,impostor
0.191,0.243,0.97,0.40395,impostor
0.159,0.209,0.97,0.37925,impostor
0.139,0.093,0.98,0.33315,impostor
0.185,0.218,0.98,0.3953,impostor
0.148,0.145,0.98,0.35495,impostor
0.092,0.24,0.0,0.12079999999999999,impostor
0.076,0.212,0.0,0.10459999999999998,impostor
0.071,0.202,0.0,0.0991,impostor
0.069,0.154,0.0,0.0815,impostor
0.07,0.123,0.0,0.07105,impostor
0.075,0.258,0.0,0.12029999999999999,impostor
0.063,0.236,0.0,0.10779999999999999,impostor
0.081,0.213,0.0,0.10694999999999999,impostor
0.075,0.225,0.0,0.10875,impostor
0.07,0.195,0.0,0.09625,impostor
0.071,0.251,0.0,0.11624999999999999,impostor
0.066,0.157,0.0,0.08135,impostor
0.089,0.232,0.0,0.11679999999999999,impostor
0.082,0.29,0.0,0.1343,impostor
0.137,0.281,0.0,0.15315,impostor
0.072,0.311,0.0,0.13765,impostor
0.102,0.333,0.0,0.15735,impostor
